AVHI,1386581400000,19.15
AVHI,1386581640000,19.23
AVHI,1386581880000,19.15
AVHI,1386583140000,19.14
AVHI,1386583500000,19.23
AVHI,1386583620000,19.15
AVHI,1386583680000,19.16
AVHI,1386583740000,19.15
AVHI,1386583800000,19.13
AVHI,1386583860000,19.13
AVHI,1386583980000,19.13
AVHI,1386584040000,19.13
AVHI,1386584100000,19.13
AVHI,1386584160000,19.13
AVHI,1386584280000,19.13
AVHI,1386584400000,19.13
AVHI,1386584520000,19.13
AVHI,1386584700000,19.13
AVHI,1386584760000,19.13
AVHI,1386585960000,19.13
AVHI,1386586080000,19.13
AVHI,1386586740000,19.17
AVHI,1386586860000,19.13
AVHI,1386587700000,19.17
AVHI,1386587760000,19.13
AVHI,1386589380000,19.13
AVHI,1386589440000,19.13
AVHI,1386589620000,19.13
AVHI,1386590280000,19.13
AVHI,1386590340000,19.13
